sales_order_id,customer_id,status,order_date,required_delivery,total_amount
SO00001,CUST00953,Shipped,2025-12-17,2025-12-31,167145.87
SO00002,CUST00687,Shipped,2025-09-12,2025-09-26,1550.28
SO00003,CUST00015,Delivered,2026-05-06,2026-05-19,167996.44
SO00004,CUST00632,Shipped,2025-11-20,2025-12-04,115817.63
SO00005,CUST00621,Delivered,2026-05-30,2026-06-14,115942.71
SO00006,CUST00938,Delivered,2026-02-05,2026-02-09,279340.65
SO00007,CUST00551,Delivered,2026-02-19,2026-03-06,232710.74
SO00008,CUST00969,Processing,2025-12-24,2025-12-30,207817.95
SO00009,CUST00812,Shipped,2025-10-03,2025-10-06,322916.37
SO00010,CUST00681,Shipped,2026-06-02,2026-06-10,99609.95
SO00011,CUST00295,Delivered,2026-03-23,2026-04-06,131792.95
SO00012,CUST00845,Delivered,2026-01-07,2026-01-17,155366.71
SO00013,CUST00969,Delivered,2026-06-08,2026-06-12,52730.4
SO00014,CUST00813,Shipped,2025-12-25,2026-01-02,209497.99
SO00015,CUST00155,Processing,2026-07-09,2026-07-20,127783.67
SO00016,CUST00093,Shipped,2025-10-16,2025-10-31,130391.25
SO00017,CUST00295,Delivered,2026-07-12,2026-07-15,14859.87
SO00018,CUST00648,Packed,2026-01-21,2026-01-29,67680.1
SO00019,CUST00296,Delivered,2025-12-02,2025-12-08,347689.13
SO00020,CUST00982,Cancelled,2026-01-29,2026-02-03,53328.45
SO00021,CUST00879,Shipped,2026-04-26,2026-04-30,13494.0
SO00022,CUST00064,Shipped,2026-01-30,2026-02-09,150188.13
SO00023,CUST00491,Shipped,2026-02-22,2026-03-05,128344.66
SO00024,CUST00683,Delivered,2026-03-04,2026-03-08,328634.5
SO00025,CUST00251,Processing,2026-04-01,2026-04-13,266681.04
SO00026,CUST00565,Delivered,2025-12-09,2025-12-22,270171.38
SO00027,CUST00316,Packed,2026-06-16,2026-06-26,23990.4
SO00028,CUST00515,Delivered,2026-01-18,2026-01-23,22918.17
SO00029,CUST00756,Shipped,2026-07-17,2026-07-26,101326.63
SO00030,CUST00809,Delivered,2025-11-23,2025-12-04,186061.06
SO00031,CUST00443,Delivered,2026-03-25,2026-04-01,200697.08
SO00032,CUST00531,Cancelled,2026-06-30,2026-07-14,187101.12
SO00033,CUST00194,Shipped,2025-12-28,2025-12-31,274553.65
