machine_id,warehouse_id,machine_name,machine_type,status,last_maintenance
MACH001,WH013,Automated Guided Vehicle System #001,Automated Guided Vehicle System,Running,2026-04-17
MACH002,WH010,Injection Molding Press #002,Injection Molding Press,Running,2026-01-28
MACH003,WH013,Laser Cutter System #003,Laser Cutter System,Idle,2026-06-06
MACH004,WH017,3D Metal Printer #004,3D Metal Printer,Running,2026-05-07
MACH005,WH021,CNC Milling Center #005,CNC Milling Center,Maintenance,2026-06-29
MACH006,WH017,3D Metal Printer #006,3D Metal Printer,Idle,2026-02-27
MACH007,WH020,SMD Surface Mount Line #007,SMD Surface Mount Line,Running,2026-05-25
MACH008,WH017,CNC Milling Center #008,CNC Milling Center,Offline,2026-04-22
MACH009,WH014,SMD Surface Mount Line #009,SMD Surface Mount Line,Running,2026-03-09
MACH010,WH017,SMD Surface Mount Line #010,SMD Surface Mount Line,Offline,2026-01-09
MACH011,WH008,Laser Cutter System #011,Laser Cutter System,Running,2026-04-20
MACH012,WH023,3D Metal Printer #012,3D Metal Printer,Running,2026-03-06
MACH013,WH002,CNC Milling Center #013,CNC Milling Center,Running,2026-04-05
MACH014,WH007,Automated Guided Vehicle System #014,Automated Guided Vehicle System,Running,2026-06-15
MACH015,WH014,3D Metal Printer #015,3D Metal Printer,Running,2026-02-17
MACH016,WH020,Automated Pick & Place #016,Automated Pick & Place,Running,2026-07-17
MACH017,WH016,Automated Guided Vehicle System #017,Automated Guided Vehicle System,Running,2026-07-03
MACH018,WH005,Laser Cutter System #018,Laser Cutter System,Running,2026-03-21
MACH019,WH005,SMD Surface Mount Line #019,SMD Surface Mount Line,Running,2026-03-01
MACH020,WH014,CNC Milling Center #020,CNC Milling Center,Maintenance,2026-05-22
MACH021,WH014,CNC Milling Center #021,CNC Milling Center,Idle,2026-05-11
MACH022,WH016,3D Metal Printer #022,3D Metal Printer,Running,2026-05-07
MACH023,WH018,3D Metal Printer #023,3D Metal Printer,Running,2026-04-06
MACH024,WH019,Laser Cutter System #024,Laser Cutter System,Idle,2026-03-16
MACH025,WH014,Injection Molding Press #025,Injection Molding Press,Offline,2026-02-14
MACH026,WH017,SMD Surface Mount Line #026,SMD Surface Mount Line,Offline,2026-03-31
MACH027,WH016,Laser Cutter System #027,Laser Cutter System,Idle,2026-04-20
MACH028,WH005,CNC Milling Center #028,CNC Milling Center,Offline,2026-04-15
MACH029,WH011,Automated Pick & Place #029,Automated Pick & Place,Running,2026-03-26
MACH030,WH023,Automated Guided Vehicle System #030,Automated Guided Vehicle System,Running,2026-02-09
MACH031,WH017,CNC Milling Center #031,CNC Milling Center,Idle,2026-01-21
MACH032,WH016,Automated Guided Vehicle System #032,Automated Guided Vehicle System,Running,2026-04-10
MACH033,WH013,Automated Guided Vehicle System #033,Automated Guided Vehicle System,Running,2026-07-01
MACH034,WH004,SMD Surface Mount Line #034,SMD Surface Mount Line,Running,2026-06-11
MACH035,WH007,CNC Milling Center #035,CNC Milling Center,Running,2026-04-23
MACH036,WH024,SMD Surface Mount Line #036,SMD Surface Mount Line,Running,2026-03-29
MACH037,WH015,3D Metal Printer #037,3D Metal Printer,Running,2026-04-09
MACH038,WH013,CNC Milling Center #038,CNC Milling Center,Idle,2026-07-12
MACH039,WH001,Automated Pick & Place #039,Automated Pick & Place,Running,2026-07-17
MACH040,WH025,Robotic Arm Cell #040,Robotic Arm Cell,Running,2026-02-05
