so_item_id,sales_order_id,product_id,quantity,selling_price
SOITEM00001,SO00001,PROD021,64,642.17
SOITEM00002,SO00001,PROD155,134,194.11
SOITEM00003,SO00001,PROD073,125,800.29
SOITEM00004,SO00002,PROD301,6,258.38
SOITEM00005,SO00003,PROD379,122,1377.02
SOITEM00006,SO00004,PROD236,121,801.25
SOITEM00007,SO00004,PROD449,13,1451.26
SOITEM00008,SO00005,PROD189,67,383.37
SOITEM00009,SO00005,PROD077,21,862.64
SOITEM00010,SO00005,PROD192,53,1361.16
SOITEM00011,SO00006,PROD116,122,1088.55
SOITEM00012,SO00006,PROD063,71,1079.94
SOITEM00013,SO00006,PROD442,69,1012.49
SOITEM00014,SO00007,PROD358,96,769.81
SOITEM00015,SO00007,PROD063,69,1079.94
SOITEM00016,SO00007,PROD408,76,1109.12
SOITEM00017,SO00008,PROD134,100,332.59
SOITEM00018,SO00008,PROD131,147,582.87
SOITEM00019,SO00008,PROD022,134,225.56
SOITEM00020,SO00008,PROD090,97,604.66
SOITEM00021,SO00009,PROD270,31,155.77
SOITEM00022,SO00009,PROD269,118,952.08
SOITEM00023,SO00009,PROD311,29,776.52
SOITEM00024,SO00009,PROD078,5,1530.22
SOITEM00025,SO00009,PROD325,138,1272.26
SOITEM00026,SO00010,PROD125,91,791.95
SOITEM00027,SO00010,PROD042,115,239.5
SOITEM00028,SO00011,PROD006,119,1039.67
SOITEM00029,SO00011,PROD287,39,206.98
SOITEM00030,SO00012,PROD443,132,556.93
SOITEM00031,SO00012,PROD254,89,775.1
SOITEM00032,SO00012,PROD499,65,197.97
SOITEM00033,SO00013,PROD382,120,439.42
SOITEM00034,SO00014,PROD098,25,839.21
SOITEM00035,SO00014,PROD067,33,1491.41
SOITEM00036,SO00014,PROD141,7,1138.72
SOITEM00037,SO00014,PROD242,35,651.23
SOITEM00038,SO00014,PROD269,114,952.08
SOITEM00039,SO00015,PROD292,70,346.04
SOITEM00040,SO00015,PROD446,77,167.07
SOITEM00041,SO00015,PROD405,112,53.91
SOITEM00042,SO00015,PROD246,56,1511.76
SOITEM00043,SO00016,PROD497,93,982.67
SOITEM00044,SO00016,PROD447,23,972.98
SOITEM00045,SO00016,PROD453,104,159.85
SOITEM00046,SO00017,PROD253,17,874.11
SOITEM00047,SO00018,PROD060,101,670.1
SOITEM00048,SO00019,PROD384,21,1361.99
SOITEM00049,SO00019,PROD013,8,1004.23
