company_id,name,industry
COMP001,Apex Manufacturing Corp,Automotive & Industrial
COMP002,Nexus Global Electronics,Consumer Electronics
COMP003,Vanguard Industrial Dynamics,Heavy Machinery
COMP004,BioHealth Precision Inc,Medical Devices
COMP005,Titan Aerospace Components,Aerospace & Defense
COMP006,OmniTech Consumer Goods,Consumer Goods
COMP007,Solaria Energy Systems,Renewable Energy Technology
COMP008,Quantum Semiconductor Works,Semiconductor
COMP009,Precision Robotics Ltd,Industrial Automation
COMP010,Starlight Mobility Solutions,Automotive
