shipment_item_id,shipment_id,product_id,quantity
SHIPITEM00001,SHIP00001,PROD021,64
SHIPITEM00002,SHIP00001,PROD155,134
SHIPITEM00003,SHIP00001,PROD073,125
SHIPITEM00004,SHIP00002,PROD301,6
SHIPITEM00005,SHIP00003,PROD379,122
SHIPITEM00006,SHIP00004,PROD236,121
SHIPITEM00007,SHIP00004,PROD449,13
SHIPITEM00008,SHIP00005,PROD189,67
SHIPITEM00009,SHIP00005,PROD077,21
SHIPITEM00010,SHIP00005,PROD192,53
SHIPITEM00011,SHIP00006,PROD116,122
SHIPITEM00012,SHIP00006,PROD063,71
SHIPITEM00013,SHIP00006,PROD442,69
SHIPITEM00014,SHIP00007,PROD358,96
SHIPITEM00015,SHIP00007,PROD063,69
SHIPITEM00016,SHIP00007,PROD408,76
SHIPITEM00017,SHIP00008,PROD134,100
SHIPITEM00018,SHIP00008,PROD131,147
SHIPITEM00019,SHIP00008,PROD022,134
SHIPITEM00020,SHIP00008,PROD090,97
SHIPITEM00021,SHIP00009,PROD270,31
SHIPITEM00022,SHIP00009,PROD269,118
SHIPITEM00023,SHIP00009,PROD311,29
SHIPITEM00024,SHIP00009,PROD078,5
SHIPITEM00025,SHIP00009,PROD325,138
SHIPITEM00026,SHIP00010,PROD125,91
SHIPITEM00027,SHIP00010,PROD042,115
SHIPITEM00028,SHIP00011,PROD006,119
SHIPITEM00029,SHIP00011,PROD287,39
SHIPITEM00030,SHIP00012,PROD443,132
SHIPITEM00031,SHIP00012,PROD254,89
SHIPITEM00032,SHIP00012,PROD499,65
SHIPITEM00033,SHIP00013,PROD382,120
SHIPITEM00034,SHIP00014,PROD098,25
SHIPITEM00035,SHIP00014,PROD067,33
SHIPITEM00036,SHIP00014,PROD141,7
SHIPITEM00037,SHIP00014,PROD242,35
SHIPITEM00038,SHIP00014,PROD269,114
SHIPITEM00039,SHIP00015,PROD292,70
SHIPITEM00040,SHIP00015,PROD446,77
SHIPITEM00041,SHIP00015,PROD405,112
SHIPITEM00042,SHIP00015,PROD246,56
SHIPITEM00043,SHIP00016,PROD497,93
SHIPITEM00044,SHIP00016,PROD447,23
SHIPITEM00045,SHIP00016,PROD453,104
SHIPITEM00046,SHIP00017,PROD253,17
SHIPITEM00047,SHIP00018,PROD060,101
SHIPITEM00048,SHIP00019,PROD384,21
SHIPITEM00049,SHIP00019,PROD013,8
SHIPITEM00050,SHIP00019,PROD195,34
SHIPITEM00051,SHIP00019,PROD356,127
SHIPITEM00052,SHIP00019,PROD490,74
SHIPITEM00053,SHIP00019,PROD218,137
SHIPITEM00054,SHIP00020,PROD497,46
SHIPITEM00055,SHIP00020,PROD164,73
SHIPITEM00056,SHIP00021,PROD307,60
SHIPITEM00057,SHIP00022,PROD468,11
SHIPITEM00058,SHIP00022,PROD102,140
SHIPITEM00059,SHIP00023,PROD335,46
SHIPITEM00060,SHIP00023,PROD289,74
SHIPITEM00061,SHIP00023,PROD287,58
SHIPITEM00062,SHIP00023,PROD105,89
SHIPITEM00063,SHIP00024,PROD121,109
SHIPITEM00064,SHIP00024,PROD098,100
SHIPITEM00065,SHIP00024,PROD116,73
SHIPITEM00066,SHIP00024,PROD036,55
SHIPITEM00067,SHIP00024,PROD463,39
SHIPITEM00068,SHIP00025,PROD113,36
SHIPITEM00069,SHIP00025,PROD180,112
SHIPITEM00070,SHIP00025,PROD183,132
SHIPITEM00071,SHIP00026,PROD476,126
SHIPITEM00072,SHIP00026,PROD255,128
SHIPITEM00073,SHIP00026,PROD416,45
SHIPITEM00074,SHIP00026,PROD422,18
SHIPITEM00075,SHIP00027,PROD439,35
SHIPITEM00076,SHIP00028,PROD239,33
SHIPITEM00077,SHIP00029,PROD162,95
SHIPITEM00078,SHIP00029,PROD214,97
SHIPITEM00079,SHIP00029,PROD145,60
SHIPITEM00080,SHIP00030,PROD134,57
SHIPITEM00081,SHIP00030,PROD010,73
SHIPITEM00082,SHIP00030,PROD448,129
SHIPITEM00083,SHIP00031,PROD380,83
SHIPITEM00084,SHIP00031,PROD190,5
SHIPITEM00085,SHIP00031,PROD356,111
SHIPITEM00086,SHIP00031,PROD137,105
SHIPITEM00087,SHIP00032,PROD154,60
SHIPITEM00088,SHIP00032,PROD077,46
SHIPITEM00089,SHIP00032,PROD175,136
SHIPITEM00090,SHIP00033,PROD445,23
SHIPITEM00091,SHIP00033,PROD321,30
SHIPITEM00092,SHIP00033,PROD486,143
SHIPITEM00093,SHIP00033,PROD284,130
SHIPITEM00094,SHIP00033,PROD016,49
SHIPITEM00095,SHIP00034,PROD373,53
SHIPITEM00096,SHIP00035,PROD356,95
SHIPITEM00097,SHIP00035,PROD015,114
SHIPITEM00098,SHIP00036,PROD341,36
SHIPITEM00099,SHIP00036,PROD104,109
SHIPITEM00100,SHIP00036,PROD275,17
SHIPITEM00101,SHIP00036,PROD220,24
SHIPITEM00102,SHIP00037,PROD056,67
SHIPITEM00103,SHIP00038,PROD139,110
SHIPITEM00104,SHIP00038,PROD500,90
SHIPITEM00105,SHIP00038,PROD031,143
SHIPITEM00106,SHIP00038,PROD354,13
SHIPITEM00107,SHIP00039,PROD420,16
SHIPITEM00108,SHIP00039,PROD159,80
SHIPITEM00109,SHIP00040,PROD182,35
SHIPITEM00110,SHIP00040,PROD019,136
SHIPITEM00111,SHIP00040,PROD121,140
SHIPITEM00112,SHIP00040,PROD414,82
SHIPITEM00113,SHIP00041,PROD199,139
SHIPITEM00114,SHIP00041,PROD115,85
SHIPITEM00115,SHIP00041,PROD094,95
SHIPITEM00116,SHIP00041,PROD085,109
SHIPITEM00117,SHIP00042,PROD217,6
SHIPITEM00118,SHIP00042,PROD209,52
SHIPITEM00119,SHIP00042,PROD423,62
SHIPITEM00120,SHIP00043,PROD323,39
SHIPITEM00121,SHIP00043,PROD294,32
