customer_id,company_id,name,country,city,industry
CUST00001,COMP002,Vanguard Energy Corp #1,Taiwan,Hsinchu,Consumer Goods
CUST00002,COMP003,Matrix Mobility Group #2,Germany,Dortmund,Electronics
CUST00003,COMP001,Horizon Solutions #3,United States,Chicago,Industrial
CUST00004,COMP007,Integrated Technologies #4,Taiwan,Taipei,Automotive
CUST00005,COMP004,Vertex Automation Ltd #5,United States,Chicago,Medical
CUST00006,COMP001,Integrated Medical Corp #6,Canada,Hamilton,Automotive
CUST00007,COMP010,Horizon Energy Corp #7,United States,Dallas,Consumer Goods
CUST00008,COMP008,Global Logistics #8,United States,Detroit,Automotive
CUST00009,COMP003,Kinetix Automation Ltd #9,China,Suzhou,Electronics
CUST00010,COMP003,Matrix Industries #10,Germany,Dortmund,Electronics
CUST00011,COMP008,Global Assembly Inc #11,India,Pune,Industrial
CUST00012,COMP001,Integrated Logistics #12,Germany,Munich,Medical
CUST00013,COMP001,Sterling Robotics #13,United States,Detroit,Industrial
CUST00014,COMP008,Global Medical Corp #14,Japan,Tokyo,Industrial
CUST00015,COMP003,Omni Assembly Inc #15,United Kingdom,Birmingham,Industrial
CUST00016,COMP005,Future Motors #16,China,Shenzhen,Electronics
CUST00017,COMP010,Matrix Logistics #17,Taiwan,Hsinchu,Industrial
CUST00018,COMP002,Future Automation Ltd #18,United Kingdom,Birmingham,Industrial
CUST00019,COMP010,Genesis Technologies #19,Germany,Munich,Medical
CUST00020,COMP001,Vanguard Motors #20,Canada,Hamilton,Automotive
CUST00021,COMP010,Core Robotics #21,Canada,Hamilton,Medical
CUST00022,COMP003,Matrix Technologies #22,United States,Chicago,Industrial
CUST00023,COMP002,Integrated Automation Ltd #23,Canada,Hamilton,Electronics
CUST00024,COMP002,Vanguard Technologies #24,United States,Dallas,Automotive
CUST00025,COMP010,Synergy Mobility Group #25,Japan,Tokyo,Medical
CUST00026,COMP006,Genesis Technologies #26,Canada,Hamilton,Automotive
CUST00027,COMP003,Paramount Technologies #27,Germany,Dortmund,Medical
CUST00028,COMP001,Horizon Assembly Inc #28,Germany,Munich,Consumer Goods
CUST00029,COMP010,Omni Industries #29,Japan,Tokyo,Consumer Goods
CUST00030,COMP005,Future Medical Corp #30,South Korea,Incheon,Consumer Goods
CUST00031,COMP010,Future Energy Corp #31,India,Bengaluru,Consumer Goods
CUST00032,COMP006,Dynamic Medical Corp #32,Mexico,Querétaro,Consumer Goods
CUST00033,COMP003,Titanium Medical Corp #33,United States,Dallas,Medical
CUST00034,COMP005,Kinetix Medical Corp #34,Germany,Dortmund,Consumer Goods
CUST00035,COMP005,Matrix Solutions #35,China,Shenzhen,Medical
CUST00036,COMP006,Sterling Systems #36,Germany,Dortmund,Consumer Goods
CUST00037,COMP009,Sterling Assembly Inc #37,Japan,Tokyo,Consumer Goods
CUST00038,COMP004,Genesis Solutions #38,China,Ningbo,Medical
CUST00039,COMP006,Matrix Motors #39,Japan,Tokyo,Automotive
CUST00040,COMP001,Synergy Industries #40,Germany,Munich,Automotive
CUST00041,COMP004,Global Automation Ltd #41,Canada,Hamilton,Consumer Goods
CUST00042,COMP008,Paramount Engineering #42,Japan,Tokyo,Industrial
CUST00043,COMP003,Synergy Technologies #43,Taiwan,Hsinchu,Consumer Goods
CUST00044,COMP004,Sterling Technologies #44,United Kingdom,Birmingham,Industrial
CUST00045,COMP008,Dynamic Robotics #45,Mexico,Monterrey,Consumer Goods
CUST00046,COMP004,Genesis Energy Corp #46,Japan,Tokyo,Consumer Goods
CUST00047,COMP003,Paramount Industries #47,China,Shenzhen,Industrial
CUST00048,COMP004,Horizon Robotics #48,Japan,Tokyo,Industrial
CUST00049,COMP004,Sterling Industries #49,United States,Dallas,Industrial
CUST00050,COMP002,Kinetix Logistics #50,United Kingdom,Birmingham,Industrial
CUST00051,COMP007,Genesis Motors #51,China,Ningbo,Consumer Goods
CUST00052,COMP010,Titanium Mobility Group #52,Japan,Nagoya,Medical
CUST00053,COMP002,Paramount Solutions #53,Taiwan,Taipei,Medical
CUST00054,COMP002,Vertex Energy Corp #54,United States,Detroit,Automotive
CUST00055,COMP001,Future Motors #55,Germany,Dortmund,Electronics
CUST00056,COMP002,Titanium Logistics #56,Vietnam,Hai Phong,Industrial
CUST00057,COMP006,Pinnacle Industries #57,Germany,Stuttgart,Medical
CUST00058,COMP010,Beacon Logistics #58,Germany,Munich,Electronics
CUST00059,COMP003,Core Medical Corp #59,Japan,Nagoya,Automotive
CUST00060,COMP005,Titanium Industries #60,China,Ningbo,Electronics
CUST00061,COMP003,Genesis Mobility Group #61,Germany,Munich,Automotive
