product_id,company_id,name,sku,category,unit_price,supplier_cost,reorder_level,safety_stock,weight,dimensions
PROD001,COMP003,Drive Shaft Universal Joint v7.4,SKU-AUT-0001-609,Automotive,1065.76,776.99,286,85,20.76,90x6x59 cm
PROD002,COMP008,Thermal Imaging Sensor v3.2,SKU-IND-0002-552,Industrial,1680.23,804.13,203,128,31.11,63x43x14 cm
PROD003,COMP007,Pulse Oximeter Sensor Module v4.7,SKU-MED-0003-685,Medical,470.16,313.13,201,25,44.01,89x55x19 cm
PROD004,COMP001,Ergonomic Smart Desk Sensor v8.5,SKU-CON-0004-894,Consumer Goods,1203.62,681.55,230,76,28.7,84x37x45 cm
PROD005,COMP003,Microcontroller Unit v5.8,SKU-ELE-0005-134,Electronics,932.3,497.89,96,95,14.8,58x27x14 cm
PROD006,COMP003,Modular LED Light Strip v9.9,SKU-CON-0006-379,Consumer Goods,1039.67,708.02,296,95,33.63,48x19x31 cm
PROD007,COMP002,Engine Control Module (ECM) v7.9,SKU-AUT-0007-474,Automotive,139.72,88.13,185,51,20.55,91x38x39 cm
PROD008,COMP007,Pneumatic Control Valve v4.8,SKU-IND-0008-125,Industrial,1090.21,531.37,217,76,29.2,86x64x60 cm
PROD009,COMP005,Pulse Oximeter Sensor Module v3.1,SKU-MED-0009-138,Medical,446.24,267.41,99,80,39.94,22x54x31 cm
PROD010,COMP006,Water Filtration Cartridge v3.7,SKU-CON-0010-770,Consumer Goods,158.98,95.43,258,91,1.62,52x32x30 cm
PROD011,COMP008,Transmission Solenoid Valve v2.6,SKU-AUT-0011-657,Automotive,1380.35,767.67,81,121,12.52,20x63x7 cm
PROD012,COMP004,Ergonomic Smart Desk Sensor v1.6,SKU-CON-0012-349,Consumer Goods,1613.13,840.64,155,37,37.37,75x31x39 cm
PROD013,COMP004,Transmission Solenoid Valve v3.1,SKU-AUT-0013-383,Automotive,1004.23,731.42,116,84,35.96,19x8x10 cm
PROD014,COMP001,Variable Frequency Drive (VFD) v6.1,SKU-IND-0014-278,Industrial,318.73,234.75,265,49,33.59,65x62x51 cm
