health_id,agent_id,heartbeat,cpu_usage,memory_usage,status
HLT00001,AG001,2026-07-20 06:19:00,62.3,29.0,Healthy
HLT00002,AG003,2026-07-22 23:59:00,62.9,79.3,Healthy
HLT00003,AG004,2026-07-23 12:53:00,40.7,27.0,Healthy
HLT00004,AG002,2026-07-20 23:56:00,56.5,63.2,Healthy
HLT00005,AG004,2026-07-20 15:04:00,90.7,30.9,Warning
HLT00006,AG003,2026-07-26 23:19:00,32.5,47.3,Healthy
HLT00007,AG001,2026-07-21 17:18:00,25.2,60.1,Healthy
HLT00008,AG005,2026-07-20 18:45:00,84.5,15.7,Healthy
HLT00009,AG005,2026-07-27 07:39:00,16.7,61.9,Healthy
HLT00010,AG003,2026-07-18 13:21:00,67.3,32.0,Healthy
HLT00011,AG001,2026-07-27 18:36:00,10.7,57.6,Healthy
HLT00012,AG004,2026-07-27 02:48:00,5.4,30.1,Healthy
HLT00013,AG001,2026-07-19 00:34:00,81.6,24.0,Healthy
HLT00014,AG004,2026-07-24 03:47:00,27.7,25.4,Healthy
HLT00015,AG005,2026-07-21 06:28:00,4.7,77.1,Healthy
HLT00016,AG001,2026-07-27 00:03:00,5.5,53.8,Healthy
HLT00017,AG005,2026-07-28 04:09:00,91.5,49.4,Warning
HLT00018,AG004,2026-07-27 22:05:00,18.7,41.1,Healthy
HLT00019,AG003,2026-07-18 22:48:00,70.4,63.2,Healthy
HLT00020,AG005,2026-07-27 10:38:00,63.0,51.6,Healthy
HLT00021,AG002,2026-07-26 23:32:00,56.6,83.0,Warning
HLT00022,AG004,2026-07-19 10:40:00,47.7,44.6,Healthy
HLT00023,AG003,2026-07-21 20:23:00,38.5,71.5,Healthy
HLT00024,AG001,2026-07-24 11:09:00,83.5,17.1,Healthy
HLT00025,AG004,2026-07-27 01:51:00,82.9,49.8,Healthy
HLT00026,AG002,2026-07-19 17:40:00,83.2,19.8,Healthy
HLT00027,AG005,2026-07-18 23:28:00,4.5,29.7,Healthy
HLT00028,AG002,2026-07-25 17:01:00,79.2,87.6,Warning
HLT00029,AG002,2026-07-22 13:12:00,65.1,59.5,Healthy
HLT00030,AG004,2026-07-19 12:18:00,45.5,80.2,Warning
HLT00031,AG002,2026-07-23 11:16:00,72.9,71.1,Healthy
HLT00032,AG005,2026-07-18 15:31:00,13.3,66.1,Healthy
HLT00033,AG002,2026-07-26 15:09:00,65.3,30.2,Healthy
HLT00034,AG005,2026-07-23 18:56:00,3.0,57.7,Healthy
HLT00035,AG004,2026-07-27 16:27:00,86.9,18.4,Warning
HLT00036,AG001,2026-07-26 00:22:00,3.7,68.2,Healthy
HLT00037,AG004,2026-07-25 07:27:00,21.1,68.9,Healthy
HLT00038,AG005,2026-07-25 22:12:00,45.5,16.3,Healthy
HLT00039,AG002,2026-07-24 08:24:00,33.1,33.4,Healthy
HLT00040,AG001,2026-07-25 01:15:00,53.7,15.0,Healthy
HLT00041,AG002,2026-07-21 19:47:00,91.9,54.6,Warning
HLT00042,AG003,2026-07-19 17:09:00,60.2,17.6,Healthy
HLT00043,AG005,2026-07-28 03:38:00,88.6,24.2,Warning
HLT00044,AG003,2026-07-24 09:03:00,37.0,66.6,Healthy
HLT00045,AG005,2026-07-20 04:15:00,13.0,65.1,Healthy
HLT00046,AG002,2026-07-25 05:51:00,89.6,64.9,Warning
HLT00047,AG001,2026-07-25 08:05:00,34.1,69.8,Healthy
HLT00048,AG003,2026-07-23 18:42:00,68.3,19.9,Healthy
HLT00049,AG002,2026-07-20 20:55:00,80.2,81.2,Warning
HLT00050,AG005,2026-07-24 17:46:00,38.5,40.3,Healthy
HLT00051,AG003,2026-07-22 00:23:00,12.9,58.2,Healthy
HLT00052,AG005,2026-07-27 21:07:00,53.6,71.4,Healthy
HLT00053,AG004,2026-07-28 08:48:00,4.7,84.1,Warning
HLT00054,AG004,2026-07-25 13:29:00,82.8,44.9,Healthy
HLT00055,AG002,2026-07-21 04:47:00,55.4,15.5,Healthy
HLT00056,AG003,2026-07-21 21:53:00,42.8,78.2,Healthy
HLT00057,AG005,2026-07-20 08:08:00,5.3,65.3,Healthy
HLT00058,AG004,2026-07-26 22:36:00,12.8,87.3,Warning
HLT00059,AG005,2026-07-22 22:08:00,78.0,57.2,Healthy
HLT00060,AG002,2026-07-28 04:03:00,15.8,28.1,Healthy
HLT00061,AG001,2026-07-28 07:34:00,59.2,56.9,Healthy
HLT00062,AG002,2026-07-23 03:22:00,27.5,53.2,Healthy
HLT00063,AG001,2026-07-28 08:28:00,88.2,63.6,Warning
HLT00064,AG005,2026-07-20 06:25:00,35.5,86.2,Warning
HLT00065,AG001,2026-07-20 05:31:00,39.4,72.4,Healthy
HLT00066,AG003,2026-07-24 02:13:00,86.2,49.4,Warning
HLT00067,AG001,2026-07-18 19:10:00,50.9,23.9,Healthy
HLT00068,AG002,2026-07-23 16:47:00,70.9,28.1,Healthy
HLT00069,AG003,2026-07-24 13:57:00,16.3,40.5,Healthy
HLT00070,AG003,2026-07-25 10:23:00,29.7,83.6,Warning
HLT00071,AG001,2026-07-18 13:00:00,48.6,73.0,Healthy
HLT00072,AG004,2026-07-24 12:40:00,43.4,32.9,Healthy
HLT00073,AG001,2026-07-23 15:39:00,56.9,22.7,Healthy
HLT00074,AG002,2026-07-18 22:48:00,50.0,87.9,Warning
HLT00075,AG004,2026-07-27 10:01:00,8.2,62.3,Healthy
HLT00076,AG001,2026-07-28 05:41:00,46.0,76.9,Healthy
HLT00077,AG002,2026-07-25 22:35:00,68.9,30.8,Healthy
HLT00078,AG004,2026-07-20 17:00:00,76.8,71.9,Healthy
HLT00079,AG002,2026-07-23 03:28:00,33.7,71.5,Healthy
HLT00080,AG004,2026-07-27 07:08:00,45.0,19.6,Healthy
HLT00081,AG004,2026-07-27 08:04:00,30.4,52.8,Healthy
HLT00082,AG003,2026-07-26 19:55:00,46.0,61.6,Healthy
HLT00083,AG001,2026-07-20 03:02:00,7.1,55.2,Healthy
HLT00084,AG003,2026-07-22 23:29:00,71.0,40.4,Healthy
