shipment_id,sales_order_id,carrier_name,tracking_number,origin,destination,status,eta,actual_delivery,shipping_cost
SHIP00001,SO00001,DB Schenker,TRK-DB -54122278,"Los Angeles, CA, USA","Querétaro, Taiwan",Delivered,2025-12-26,2025-12-27,275.15
SHIP00002,SO00002,FedEx Freight,TRK-FED-45757924,"Guadalajara, Mexico","Suzhou, Germany",Returned,2025-09-22,2025-10-01,895.25
SHIP00003,SO00003,Maersk Logistics,TRK-MAE-79886887,"Frankfurt, Germany","Seoul, United States",Delivered,2026-05-09,2026-05-08,155.0
SHIP00004,SO00004,Maersk Logistics,TRK-MAE-37853656,"Rotterdam, Netherlands","Tokyo, Taiwan",In Transit,2025-11-29,,802.84
SHIP00005,SO00005,DHL Express,TRK-DHL-22641359,"Munich, Germany","Stuttgart, Mexico",Delivered,2026-06-07,2026-06-10,201.91
SHIP00006,SO00006,UPS Supply Chain,TRK-UPS-64202130,"Shenzhen, China","Munich, United States",Delivered,2026-02-08,2026-02-07,1797.13
SHIP00007,SO00007,Kuehne + Nagel,TRK-KUE-69857543,"Melbourne, Australia","Birmingham, Mexico",Delivered,2026-03-03,2026-03-04,1488.89
SHIP00008,SO00008,Kuehne + Nagel,TRK-KUE-89711281,"Monterrey, Mexico","Incheon, Mexico",Delivered,2026-01-07,2026-01-06,224.39
SHIP00009,SO00009,Maersk Logistics,TRK-MAE-41875047,"Monterrey, Mexico","Osaka, United States",In Transit,2025-10-10,,911.53
SHIP00010,SO00010,Kuehne + Nagel,TRK-KUE-76894466,"Frankfurt, Germany","Tokyo, India",Delivered,2026-06-11,2026-06-12,1477.73
SHIP00011,SO00011,Kuehne + Nagel,TRK-KUE-11206707,"Guadalajara, Mexico","Seoul, Taiwan",In Transit,2026-04-06,,299.17
SHIP00012,SO00012,FedEx Freight,TRK-FED-14848119,"Tokyo, Japan","Hai Phong, Germany",In Transit,2026-01-19,,450.94
SHIP00013,SO00013,UPS Supply Chain,TRK-UPS-18384998,"Tokyo, Japan","Tokyo, Vietnam",In Transit,2026-06-20,,168.95
SHIP00014,SO00014,Kuehne + Nagel,TRK-KUE-67507493,Singapore,"Osaka, Japan",Delayed,2025-12-28,,771.78
SHIP00015,SO00015,Maersk Logistics,TRK-MAE-88137385,"Pune, India","Munich, United States",Delivered,2026-07-22,2026-07-23,105.71
SHIP00016,SO00016,Kuehne + Nagel,TRK-KUE-68389980,"Frankfurt, Germany","Birmingham, Vietnam",In Transit,2025-10-28,,625.86
SHIP00017,SO00017,DHL Express,TRK-DHL-86922302,"Yokohama, Japan","Tokyo, India",Delivered,2026-07-25,2026-07-24,750.37
SHIP00018,SO00018,FedEx Freight,TRK-FED-81555415,"Bengaluru, India","Suzhou, Vietnam",Delivered,2026-01-26,2026-01-26,639.82
SHIP00019,SO00019,UPS Supply Chain,TRK-UPS-82302358,"Tokyo, Japan","Querétaro, Germany",In Transit,2025-12-08,,681.49
