po_item_id,purchase_order_id,product_id,quantity,unit_cost
POITEM00001,PO00001,PROD290,249,96.88
POITEM00002,PO00001,PROD297,127,148.17
POITEM00003,PO00001,PROD258,57,268.33
POITEM00004,PO00002,PROD497,72,607.34
POITEM00005,PO00002,PROD209,134,431.65
POITEM00006,PO00002,PROD492,477,804.82
POITEM00007,PO00002,PROD274,29,184.54
POITEM00008,PO00002,PROD467,137,338.35
POITEM00009,PO00002,PROD288,459,740.09
POITEM00010,PO00003,PROD348,301,395.15
POITEM00011,PO00003,PROD093,69,388.15
POITEM00012,PO00004,PROD167,209,587.07
POITEM00013,PO00004,PROD134,244,169.2
POITEM00014,PO00004,PROD475,138,349.43
POITEM00015,PO00004,PROD210,77,734.75
POITEM00016,PO00004,PROD198,99,145.64
POITEM00017,PO00004,PROD079,463,812.58
POITEM00018,PO00005,PROD226,222,302.07
POITEM00019,PO00005,PROD207,108,406.78
POITEM00020,PO00005,PROD304,414,170.43
POITEM00021,PO00005,PROD257,463,218.67
POITEM00022,PO00005,PROD232,102,113.62
POITEM00023,PO00006,PROD300,163,537.18
POITEM00024,PO00006,PROD483,206,367.42
POITEM00025,PO00006,PROD159,39,783.19
POITEM00026,PO00006,PROD251,304,788.6
POITEM00027,PO00007,PROD062,482,176.9
POITEM00028,PO00007,PROD239,138,391.55
POITEM00029,PO00008,PROD049,477,665.03
POITEM00030,PO00008,PROD478,162,587.74
POITEM00031,PO00008,PROD218,108,669.74
POITEM00032,PO00008,PROD019,215,121.47
POITEM00033,PO00009,PROD045,190,105.62
POITEM00034,PO00009,PROD460,38,70.8
POITEM00035,PO00009,PROD214,454,448.24
POITEM00036,PO00010,PROD095,196,142.41
POITEM00037,PO00010,PROD221,369,255.85
POITEM00038,PO00010,PROD134,357,169.2
POITEM00039,PO00010,PROD146,276,411.83
POITEM00040,PO00010,PROD496,398,574.68
POITEM00041,PO00011,PROD132,357,576.63
POITEM00042,PO00011,PROD045,364,105.62
POITEM00043,PO00012,PROD286,279,584.6
POITEM00044,PO00012,PROD023,268,144.33
POITEM00045,PO00012,PROD131,444,395.7
POITEM00046,PO00012,PROD305,239,213.13
POITEM00047,PO00013,PROD414,247,649.94
POITEM00048,PO00013,PROD099,146,263.66
POITEM00049,PO00014,PROD160,108,576.41
POITEM00050,PO00014,PROD461,438,132.57
POITEM00051,PO00015,PROD160,153,576.41
POITEM00052,PO00015,PROD224,452,36.63
POITEM00053,PO00016,PROD356,117,53.56
POITEM00054,PO00016,PROD064,200,757.03
POITEM00055,PO00017,PROD175,305,214.47
POITEM00056,PO00017,PROD198,121,145.64
POITEM00057,PO00017,PROD045,93,105.62
POITEM00058,PO00018,PROD442,57,622.08
POITEM00059,PO00018,PROD353,451,270.5
POITEM00060,PO00018,PROD185,24,38.46
POITEM00061,PO00018,PROD177,314,207.32
POITEM00062,PO00019,PROD186,193,248.28
POITEM00063,PO00019,PROD396,23,471.13
POITEM00064,PO00019,PROD073,208,483.95
POITEM00065,PO00019,PROD444,225,399.53
POITEM00066,PO00019,PROD247,482,826.24
POITEM00067,PO00020,PROD473,376,234.57
POITEM00068,PO00020,PROD089,26,454.84
POITEM00069,PO00021,PROD201,374,148.93
POITEM00070,PO00021,PROD097,359,779.98
POITEM00071,PO00021,PROD106,114,129.72
POITEM00072,PO00021,PROD158,356,660.16
POITEM00073,PO00021,PROD017,336,435.9
POITEM00074,PO00022,PROD082,144,553.44
POITEM00075,PO00022,PROD232,99,113.62
POITEM00076,PO00022,PROD127,469,100.06
POITEM00077,PO00023,PROD225,471,739.73
POITEM00078,PO00023,PROD150,334,800.82
POITEM00079,PO00023,PROD223,191,123.48
POITEM00080,PO00024,PROD391,248,689.07
POITEM00081,PO00024,PROD198,347,145.64
POITEM00082,PO00024,PROD276,381,128.13
POITEM00083,PO00025,PROD138,57,737.18
POITEM00084,PO00025,PROD311,123,547.26
POITEM00085,PO00025,PROD313,233,530.62
POITEM00086,PO00025,PROD100,270,479.23
POITEM00087,PO00025,PROD404,197,182.61
POITEM00088,PO00026,PROD259,383,724.03
POITEM00089,PO00026,PROD134,437,169.2
POITEM00090,PO00027,PROD118,479,256.92
POITEM00091,PO00027,PROD208,244,672.53
POITEM00092,PO00027,PROD333,350,267.79
POITEM00093,PO00027,PROD217,276,364.98
POITEM00094,PO00028,PROD462,417,207.53
POITEM00095,PO00028,PROD366,125,707.17
POITEM00096,PO00028,PROD365,467,519.76
POITEM00097,PO00029,PROD022,293,164.43
POITEM00098,PO00029,PROD469,133,690.5
POITEM00099,PO00029,PROD107,116,604.75
POITEM00100,PO00029,PROD284,122,543.19
POITEM00101,PO00029,PROD349,72,753.18
POITEM00102,PO00030,PROD204,438,103.04
POITEM00103,PO00030,PROD207,25,406.78
POITEM00104,PO00030,PROD144,100,669.01
POITEM00105,PO00030,PROD277,147,596.29
POITEM00106,PO00031,PROD447,325,494.28
POITEM00107,PO00032,PROD037,416,675.52
POITEM00108,PO00032,PROD057,473,726.74
POITEM00109,PO00032,PROD182,362,188.11
POITEM00110,PO00032,PROD142,477,808.34
POITEM00111,PO00033,PROD134,316,169.2
POITEM00112,PO00033,PROD415,431,160.17
POITEM00113,PO00033,PROD045,63,105.62
POITEM00114,PO00033,PROD441,31,314.89
POITEM00115,PO00033,PROD163,364,835.86
POITEM00116,PO00034,PROD121,168,517.69
POITEM00117,PO00034,PROD367,223,416.73
POITEM00118,PO00034,PROD195,39,419.18
POITEM00119,PO00034,PROD181,92,486.15
POITEM00120,PO00034,PROD031,230,825.69
POITEM00121,PO00035,PROD068,492,804.13
POITEM00122,PO00035,PROD075,192,492.03
POITEM00123,PO00035,PROD478,73,587.74
POITEM00124,PO00036,PROD493,425,163.56
POITEM00125,PO00036,PROD329,417,267.76
POITEM00126,PO00036,PROD051,145,320.72
POITEM00127,PO00037,PROD034,59,553.63
POITEM00128,PO00037,PROD031,185,825.69
POITEM00129,PO00037,PROD272,463,456.22
POITEM00130,PO00037,PROD149,265,129.76
POITEM00131,PO00037,PROD017,452,435.9
POITEM00132,PO00038,PROD364,52,28.18
POITEM00133,PO00038,PROD315,39,259.32
POITEM00134,PO00038,PROD453,308,117.48
POITEM00135,PO00038,PROD269,333,500.47
POITEM00136,PO00039,PROD478,211,587.74
POITEM00137,PO00040,PROD283,410,484.15
POITEM00138,PO00040,PROD048,220,69.08
POITEM00139,PO00041,PROD227,261,641.82
POITEM00140,PO00041,PROD489,120,628.21
POITEM00141,PO00041,PROD116,47,608.53
POITEM00142,PO00042,PROD297,99,148.17
POITEM00143,PO00042,PROD010,33,95.43
POITEM00144,PO00042,PROD100,487,479.23
POITEM00145,PO00042,PROD317,46,616.34
POITEM00146,PO00042,PROD006,194,708.02
POITEM00147,PO00042,PROD309,452,467.42
POITEM00148,PO00042,PROD458,424,353.85
POITEM00149,PO00043,PROD004,343,681.55
POITEM00150,PO00044,PROD147,354,333.32
POITEM00151,PO00044,PROD263,249,750.8
POITEM00152,PO00044,PROD423,339,690.64
POITEM00153,PO00044,PROD168,287,579.64
POITEM00154,PO00044,PROD458,386,353.85
POITEM00155,PO00045,PROD237,292,500.6
POITEM00156,PO00045,PROD117,80,169.44
POITEM00157,PO00046,PROD089,314,454.84
POITEM00158,PO00046,PROD070,252,254.2
POITEM00159,PO00047,PROD020,171,496.51
POITEM00160,PO00047,PROD058,323,725.52
POITEM00161,PO00048,PROD150,279,800.82
POITEM00162,PO00048,PROD121,294,517.69
POITEM00163,PO00048,PROD329,225,267.76
POITEM00164,PO00048,PROD044,423,408.18
POITEM00165,PO00049,PROD280,436,561.08
POITEM00166,PO00049,PROD027,342,397.54
POITEM00167,PO00049,PROD030,445,98.6
POITEM00168,PO00049,PROD244,445,89.5
POITEM00169,PO00050,PROD111,326,720.46
POITEM00170,PO00050,PROD205,447,280.15
POITEM00171,PO00050,PROD211,287,660.34
POITEM00172,PO00051,PROD332,163,72.5
POITEM00173,PO00051,PROD009,445,267.41
